case_id,case_score,case_outlier,iso_outlier
20724871,0.932,False,False
20734464,0.934,False,False
20749990,0.943,False,False
20769050,0.667,False,False
20769669,0.702,False,False
20778770,0.721,False,False
20780657,0.617,True,False
20788383,0.701,False,False
20808804,0.972,False,False
20814569,0.649,False,False
20824621,0.711,False,False
20825695,0.608,True,False
20849801,0.75,False,False
20886971,0.667,False,False
20893698,0.692,False,False
20894279,0.941,True,False
20914654,0.92,True,False
20923950,0.669,False,False
20927725,0.667,False,False
20931263,0.678,False,False
20978031,0.655,False,False
21011323,0.693,False,False
21032801,0.676,False,False
21056369,0.605,True,False
21081216,0.599,True,False
21110555,0.708,False,False
21123689,0.694,False,False
21135283,0.626,True,False
21176420,0.721,False,False
21177887,0.683,False,False
21191834,0.649,True,False
21199106,0.557,True,False
21215250,0.672,True,False
21216895,0.613,True,False
21255551,0.643,True,False
21259398,0.673,False,False
21268553,0.707,False,False
21270817,0.661,True,False
21282630,0.918,True,False
21283308,0.918,True,False
21298064,0.689,True,False
21303538,0.916,True,False
21304254,0.64,True,False
21306689,0.696,False,False
21351330,0.639,True,False
21369372,0.64,True,False
21381131,0.943,False,False
21435755,0.912,True,False
21456681,0.658,False,False
21458204,0.625,True,False
21478297,0.959,False,False
21495200,0.612,True,False
21501054,0.918,True,False
21517869,0.713,False,False
21575612,1.0,True,False
21590295,0.688,True,False
21619018,0.677,True,False
21640791,0.579,True,False
21715124,0.973,False,False
21720577,0.61,True,False
21736347,0.95,False,False
21808766,0.595,True,False
21844250,0.984,True,False
21854476,0.578,True,False
21870048,0.64,False,False
21872891,0.694,False,False
21894254,0.703,False,False
21910887,0.921,True,False
21917778,0.679,False,False
21934455,0.927,True,False
21976907,0.653,False,False
21986699,0.569,True,False
21989933,0.543,True,True
21990709,0.919,True,False
22060602,0.627,True,False
22062411,0.707,False,False
22140133,0.973,False,False
22147393,0.676,False,False
22148165,0.937,False,False
22149077,0.602,True,False
22174352,0.626,True,False
22184061,0.629,True,False
22189711,0.592,True,False
22218987,0.661,False,False
22232965,0.702,False,False
22261737,0.604,True,False
22324836,0.665,False,False
22334321,0.632,True,False
22375178,0.558,True,False
22378024,0.699,False,False
22407704,0.934,False,False
22409019,0.589,True,False
