case_id,municipality,case_hybrid_score,case_hybrid_raw
11215557,BPIC15_5,0.878,0.8691555518697557
11216148,BPIC15_1,0.843,0.83644645919485
11216395,BPIC15_5,0.827,0.8212876235435687
11218256,BPIC15_1,0.867,0.858617440882742
11221210,BPIC15_4,0.828,0.8222437161922961
11229243,BPIC15_4,0.826,0.8195347007924568
11235639,BPIC15_5,0.81,0.804653556095823
11238009,BPIC15_5,0.808,0.8032398868124223
11238110,BPIC15_5,0.812,0.807027495353707
11248238,BPIC15_5,0.872,0.8640481856593526
11248634,BPIC15_1,0.835,0.8286953486713513
11251027,BPIC15_5,0.877,0.867988365550456
11276486,BPIC15_1,0.853,0.8451795937577097
11288774,BPIC15_1,0.886,0.8768908648291793
11290777,BPIC15_5,0.89,0.8804347951418988
11293939,BPIC15_5,0.398,0.4143270331611566
11297439,BPIC15_5,0.483,0.4943014554342423
11303412,BPIC15_4,0.838,0.8311169379535343
11309205,BPIC15_5,0.421,0.4361569344731539
11315883,BPIC15_1,0.842,0.8352254913307205
11318964,BPIC15_1,0.442,0.4558591742418442
11320262,BPIC15_1,0.856,0.8485487218387231
11330151,BPIC15_4,0.842,0.8355437075681589
11330878,BPIC15_4,0.84,0.8333390359076602
11332529,BPIC15_1,0.855,0.8474932085810878
11332869,BPIC15_4,0.839,0.8325722327586189
11334009,BPIC15_4,0.421,0.43552198085503524
11337194,BPIC15_5,0.876,0.8675971448671883
11342897,BPIC15_4,0.847,0.8401112818564618
11344836,BPIC15_5,0.82,0.8145825413453226
11354921,BPIC15_5,0.788,0.7843576140967001
11364561,BPIC15_5,0.488,0.49934799961327747
11369762,BPIC15_5,0.885,0.875747491866762
11370493,BPIC15_5,0.472,0.48380183012137495
11372615,BPIC15_5,0.476,0.48810082795491416
11380357,BPIC15_4,0.839,0.8325949637695689
11382558,BPIC15_5,0.848,0.841275169978395
11409092,BPIC15_5,0.819,0.8130294248040119
11412664,BPIC15_5,0.427,0.44163288860199174
11417542,BPIC15_4,0.856,0.8485777610062937
11425185,BPIC15_5,0.422,0.43644828340681546
11434339,BPIC15_4,0.859,0.8509350971820463
11436634,BPIC15_5,0.814,0.8082685969376088
11442858,BPIC15_4,0.849,0.8418076781884776
11466473,BPIC15_4,0.444,0.4577280901081324
11467444,BPIC15_4,0.446,0.45909457579919694
11468453,BPIC15_4,0.843,0.835826500502899
11477783,BPIC15_4,0.465,0.4772125867166759
